Date;Period;jAuditRate;jTaxRate;jPeriod;jSubject;jSujeto;jGroup;jGrupo;jProfit;jnCorrectRET;jProfitRET;jDeclared;jDeduction;jTotalDeduction;jCheat;jType;jAudited;jFine;jDeductionsGroup;jReceivedFromGroup;jTaxRateProposed;jnCorrectSum;jGroupDG;jProfitDG;jProposerDG;jOfferDG;jage_subject;jgender;jTrust;jIdeology;jIncome;jPublicTransport;jTaxes;jDrivingFast;jMoneyFound;jLying;jAccidentalDamage;jLitter;jDrivingAlcohol;jJobApplication;jBuyingStolen;jProfitRiskAv;jdec1;jdec2;jdec3;jdec4;jdec5;jdec6;jdec7;jdec8;jdec9;jdec10;jHLJump;jSafeChoices;jedec1;jedec2;jedec3;jedec4;jedec5;jeHLJump;jequizWrong
151217_0935;4;0;10;4;1;-1;6;-1;603.75;4;600;500;50;50;1;-1;0;0;215;53.75;-1;4;4;1000;0;500;48;1;0;9;89;1;1;1;3;1;1;1;1;1;1;2000;0;0;0;0;0;0;1;1;1;1;7;6;1;1;0;0;0;1;1
151217_0935;4;0;10;4;2;-1;4;-1;1442.75;10;1500;1500;150;150;0;-1;0;0;371;92.75;-1;10;12;500;0;100;38;1;0;2;13;1;1;1;3;1;1;1;1;1;1;900;0;0;0;0;0;0;0;0;0;0;99;10;0;0;0;0;0;99;3
151217_0935;4;0;10;4;3;-1;1;-1;1159.75;8;1200;1200;120;120;0;-1;0;0;319;79.75;-1;8;1;300;0;500;29;1;0;0;16;3;1;1;1;1;1;1;1;3;1;1500;0;0;0;1;1;1;1;1;1;1;4;3;0;0;0;0;0;99;0
151217_0935;4;0;10;4;4;-1;2;-1;770.75;5;750;0;0;0;1;-1;0;0;83;20.75;-1;5;11;500;1;500;43;0;1;5;14;1;1;1;1;1;1;1;1;1;1;2500;1;0;0;1;0;0;0;1;1;1;1;5;1;1;1;1;1;1;0
151217_0935;4;0;10;4;5;-1;5;-1;456.25;3;450;450;45;45;0;-1;0;0;205;51.25;-1;3;3;600;1;400;40;0;1;5;10;1;1;2;1;1;2;1;1;1;1;2400;1;1;0;1;1;0;1;0;0;1;1;4;1;1;1;0;0;1;0
151217_0935;4;0;10;4;6;-1;6;-1;728.75;5;750;750;75;75;0;-1;0;0;215;53.75;-1;5;7;800;1;200;40;0;0;8;15;1;1;1;2;1;1;1;1;1;1;1900;0;1;0;1;1;0;0;0;1;0;2;6;1;1;1;1;1;1;3
151217_0935;4;0;10;4;7;-1;5;-1;861.25;6;900;900;90;90;0;-1;0;0;205;51.25;-1;6;4;0;1;1000;51;0;0;2;11;1;1;1;1;1;1;1;1;1;1;2300;0;0;0;0;0;0;0;0;0;1;10;9;1;1;1;1;1;1;1
151217_0935;4;0;10;4;8;-1;3;-1;885.5;6;900;900;90;90;0;-1;0;0;302;75.5;-1;6;2;500;1;500;37;1;0;5;16;1;1;1;3;1;1;1;1;2;1;1500;0;0;0;0;0;1;1;1;1;1;6;5;0;0;0;0;0;99;0
151217_0935;4;0;10;4;9;-1;1;-1;1459.75;10;1500;1200;120;120;1;-1;0;0;319;79.75;-1;10;5;500;1;500;26;0;0;5;13;3;1;2;3;2;1;1;1;2;1;1800;0;1;0;0;0;0;1;1;1;1;2;5;0;1;0;0;0;2;0
151217_0935;4;0;10;4;10;-1;2;-1;305.75;2;300;150;15;15;1;-1;0;0;83;20.75;-1;2;5;500;0;500;65;0;0;5;9;1;3;3;1;1;1;1;1;3;1;1500;0;1;0;0;1;0;1;0;0;0;2;7;0;0;1;0;1;3;1
151217_0935;4;0;10;4;11;-1;4;-1;911.75;6;900;810;81;81;1;-1;0;0;371;92.75;-1;6;6;400;1;600;23;0;0;6;15;1;1;2;1;1;1;1;1;1;1;1300;0;0;0;0;1;1;1;1;1;1;5;4;0;0;0;0;0;99;1
151217_0935;4;0;10;4;12;-1;5;-1;321.25;2;300;300;30;30;0;-1;0;0;205;51.25;-1;2;6;600;0;500;54;1;0;10;12;1;4;4;1;1;1;1;3;4;1;700;0;0;0;0;0;1;1;0;1;1;6;6;0;0;0;0;0;99;4
